epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.41638,2.23381,5.30291,1.57518,0.00594,0.23611,0.01507,0.00883,2.00631,3.77992,1.2167,0.00010003,0.00010003,0.00010003
2,4.51914,1.80362,4.47555,1.3203,0.03959,0.32282,0.20329,0.13526,1.45839,3.65822,1.0381,0.000212228,0.000212228,0.000212228
3,6.57447,1.78363,3.52021,1.20971,0.06646,0.51351,0.28188,0.16687,1.47213,3.62024,1.05005,0.000322162,0.000322162,0.000322162
4,8.58491,1.6803,3.25019,1.16692,0.07032,0.65297,0.39666,0.24252,1.37223,3.52272,1.01068,0.000429833,0.000429833,0.000429833
5,10.5842,1.63595,3.00904,1.13111,0.06507,0.68694,0.48925,0.27335,1.44998,3.47004,1.05304,0.000535241,0.000535241,0.000535241
6,12.5594,1.63751,2.61187,1.16452,0.06147,0.76464,0.57386,0.33442,1.5194,3.33057,1.06183,0.000638384,0.000638384,0.000638384
7,14.525,1.67025,2.49063,1.19836,0.03524,0.76464,0.56497,0.30409,1.54229,3.30148,1.08093,0.000739265,0.000739265,0.000739265
8,16.452,1.61993,2.95208,1.21653,0.0233,0.69932,0.61039,0.35108,1.48165,3.09803,1.092,0.000837881,0.000837881,0.000837881
9,18.3854,1.46908,2.24878,1.12152,1,0.29698,0.78831,0.42802,1.58202,2.85195,1.13629,0.000934234,0.000934234,0.000934234
10,20.2741,1.39256,2.36846,1.17546,0.9537,0.29296,0.85819,0.43849,1.59165,2.69168,1.16322,0.00102832,0.00102832,0.00102832
11,22.1629,1.552,2.00142,1.15623,0.98917,0.48764,0.95002,0.47781,1.65536,2.29293,1.2444,0.00112015,0.00112015,0.00112015
12,24.0316,1.50542,1.81698,1.15147,0.90782,0.8481,0.97371,0.50835,1.61485,1.93594,1.22696,0.00120971,0.00120971,0.00120971
13,25.8911,1.46287,1.85287,1.185,0.85116,0.81959,0.89504,0.47574,1.6461,1.96484,1.30565,0.00125923,0.00125923,0.00125923
14,27.7422,1.42642,1.84446,1.18366,0.89144,0.80184,0.91628,0.46455,1.62532,2.13613,1.31359,0.00124509,0.00124509,0.00124509
15,29.6378,1.46625,1.85044,1.1437,0.79964,0.80932,0.87688,0.40667,1.78817,2.01276,1.36523,0.00123094,0.00123094,0.00123094
16,31.5471,1.46252,1.75549,1.14135,0.68216,0.85745,0.85925,0.43478,1.70426,1.98419,1.35384,0.00121679,0.00121679,0.00121679
17,33.4873,1.54057,1.83904,1.1781,0.66165,0.7836,0.80743,0.408,1.68733,2.27294,1.384,0.00120265,0.00120265,0.00120265
18,35.4091,1.38109,1.66183,1.11652,0.77692,0.76333,0.85512,0.44755,1.62113,1.97115,1.34052,0.0011885,0.0011885,0.0011885
19,37.3002,1.30231,1.90943,1.11023,0.66949,0.72324,0.71869,0.36912,1.63496,2.05223,1.30678,0.00117435,0.00117435,0.00117435
20,39.1716,1.36246,1.5678,1.11386,0.76132,0.59138,0.61421,0.29805,1.97102,2.14834,1.45688,0.00116021,0.00116021,0.00116021
21,41.0246,1.31183,1.51915,1.07904,0.8237,0.6706,0.76,0.37571,1.833,1.76084,1.44795,0.00114606,0.00114606,0.00114606
22,42.8741,1.35997,1.48821,1.13248,0.88617,0.7482,0.85465,0.44662,1.73323,1.51402,1.39228,0.00113191,0.00113191,0.00113191
23,44.7024,1.41625,1.52887,1.15994,0.97562,0.99396,0.98402,0.55357,1.54608,1.07694,1.23658,0.00111776,0.00111776,0.00111776
24,46.5668,1.36562,1.41939,1.10609,0.89164,0.94078,0.9197,0.50181,1.66391,1.21701,1.3928,0.00110362,0.00110362,0.00110362
25,48.4278,1.35929,1.4336,1.11195,0.93958,0.86881,0.93085,0.51553,1.57113,1.26269,1.32637,0.00108947,0.00108947,0.00108947
26,50.2509,1.34025,1.42067,1.09901,0.92747,0.95273,0.96167,0.54168,1.5174,1.08304,1.27567,0.00107532,0.00107532,0.00107532
27,52.1021,1.33946,1.37824,1.1187,0.88586,0.9562,0.93492,0.54044,1.55782,0.98434,1.29036,0.00106118,0.00106118,0.00106118
28,53.9098,1.33251,1.40568,1.08389,0.93644,0.99866,0.97584,0.53314,1.55282,0.91852,1.23803,0.00104703,0.00104703,0.00104703
29,55.7369,1.27097,1.33542,1.07324,0.95301,0.94473,0.98919,0.5715,1.53023,0.87031,1.20399,0.00103288,0.00103288,0.00103288
30,57.5401,1.31613,1.26687,1.08472,0.94855,0.93787,0.98276,0.57064,1.53794,0.87939,1.21987,0.00101873,0.00101873,0.00101873
31,59.3783,1.28472,1.27209,1.07428,0.95457,0.92894,0.97832,0.54117,1.54447,0.86724,1.23739,0.00100459,0.00100459,0.00100459
32,61.1896,1.2191,1.26083,1.05515,0.95564,0.88519,0.97221,0.54541,1.53506,0.91397,1.25371,0.00099044,0.00099044,0.00099044
33,63.0072,1.2343,1.17454,1.06273,0.95414,0.90526,0.95616,0.55145,1.56872,0.89292,1.28895,0.000976293,0.000976293,0.000976293
34,64.8159,1.31761,1.28506,1.07803,0.96749,0.94198,0.97651,0.53894,1.56235,0.8427,1.23681,0.000962146,0.000962146,0.000962146
35,66.6346,1.25018,1.18461,1.04707,0.92423,0.94313,0.96307,0.53721,1.58151,0.86185,1.25959,0.000947999,0.000947999,0.000947999
36,68.4396,1.27309,1.23218,1.06108,0.91113,0.95129,0.95428,0.53782,1.57345,0.82037,1.24071,0.000933851,0.000933851,0.000933851
37,70.2695,1.23271,1.18782,1.06039,0.97394,0.97546,0.98111,0.55525,1.53363,0.76346,1.19649,0.000919704,0.000919704,0.000919704
38,72.1061,1.17892,1.06627,1.02231,0.96561,0.97917,0.96443,0.56078,1.55585,0.76371,1.22552,0.000905557,0.000905557,0.000905557
39,73.9145,1.2243,1.17246,1.06583,0.95559,0.97609,0.96435,0.55267,1.5529,0.79192,1.21637,0.00089141,0.00089141,0.00089141
40,75.7198,1.23824,1.11261,1.06268,0.94901,0.97917,0.96978,0.56388,1.5171,0.73941,1.21002,0.000877263,0.000877263,0.000877263
