epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.42556,2.58357,4.88441,1.65065,0.00088,0.09211,0.01022,0.00151,2.063,4.07095,1.29064,0.00010003,0.00010003,0.00010003
2,2.56682,2.43246,4.55749,1.59402,0.00317,0.29474,0.11057,0.03726,1.73849,3.97563,1.10764,0.000211521,0.000211521,0.000211521
3,3.64717,2.04339,3.24378,1.26163,0.00399,0.32982,0.13475,0.04149,1.8022,3.89117,1.10173,0.000319993,0.000319993,0.000319993
4,4.69479,2.04881,2.93824,1.24677,0.00666,0.38289,0.13082,0.05937,1.7386,3.76858,1.07397,0.000425448,0.000425448,0.000425448
5,5.75064,1.9251,2.67726,1.24102,0.01161,0.30877,0.13998,0.05758,1.75938,3.74614,1.10584,0.000527884,0.000527884,0.000527884
6,6.79588,1.89448,2.4825,1.35519,0.01187,0.30789,0.19799,0.07505,1.6428,3.63699,1.10987,0.000627302,0.000627302,0.000627302
7,7.83452,2.00567,2.52233,1.23766,0.01049,0.23246,0.19013,0.07461,1.67194,3.55676,1.1444,0.000723703,0.000723703,0.000723703
8,8.86002,1.87664,2.65006,1.2557,0.0062,0.25526,0.20032,0.12921,1.68409,3.43725,1.11528,0.000817085,0.000817085,0.000817085
9,9.87307,2.02181,2.31967,1.22823,0.01064,0.5943,0.50547,0.25009,1.74574,3.07655,1.12822,0.000907449,0.000907449,0.000907449
10,10.8735,1.76373,2.02057,1.23239,1,0.03029,0.58712,0.308,1.68549,2.96267,1.11065,0.000994795,0.000994795,0.000994795
11,11.8827,1.89647,1.95278,1.23827,0.66051,0.16925,0.56492,0.25079,1.91896,2.91833,1.19267,0.00107912,0.00107912,0.00107912
12,12.8835,1.76276,1.7689,1.17008,1,0.21745,0.61554,0.31206,1.83141,2.72789,1.1717,0.00116043,0.00116043,0.00116043
13,13.8807,1.72469,1.69893,1.21287,0.95582,0.28068,0.58942,0.30905,1.7764,2.60716,1.19822,0.00120265,0.00120265,0.00120265
14,14.8714,1.86516,1.85388,1.20394,0.73058,0.33473,0.62654,0.32651,1.81847,2.55027,1.26359,0.00118378,0.00118378,0.00118378
15,15.8802,1.96437,1.84028,1.22819,0.68627,0.61965,0.72938,0.37592,1.87189,1.8879,1.26385,0.00116492,0.00116492,0.00116492
16,16.8726,1.81597,1.70924,1.20206,0.69624,0.56832,0.67661,0.34225,1.82852,1.9021,1.26465,0.00114606,0.00114606,0.00114606
17,17.8617,1.70111,1.5358,1.19205,0.85868,0.68196,0.75519,0.34904,1.75164,1.59098,1.23815,0.0011272,0.0011272,0.0011272
18,18.8424,1.65384,1.58653,1.14437,0.87285,0.70557,0.75229,0.34675,1.80814,1.55565,1.22913,0.00110833,0.00110833,0.00110833
19,19.8,1.77969,1.64816,1.21732,0.8258,0.69386,0.73278,0.37256,1.70901,1.32172,1.21158,0.00108947,0.00108947,0.00108947
20,20.7684,1.64139,1.45447,1.1664,0.75503,0.64474,0.67208,0.34545,1.78234,1.39497,1.22469,0.00107061,0.00107061,0.00107061
21,21.7243,1.78618,1.49938,1.19928,0.9011,0.67542,0.78463,0.39016,1.70783,1.32844,1.19154,0.00105174,0.00105174,0.00105174
22,22.6779,1.59597,1.3831,1.1385,0.8783,0.67907,0.80077,0.44761,1.63578,1.39091,1.16903,0.00103288,0.00103288,0.00103288
23,23.6257,1.5684,1.34031,1.1616,0.81114,0.77528,0.79108,0.4447,1.66384,1.25263,1.18542,0.00101402,0.00101402,0.00101402
24,24.5733,1.68687,1.36999,1.14482,0.82686,0.77215,0.78962,0.35936,1.79324,1.23908,1.24086,0.000995156,0.000995156,0.000995156
25,25.5286,1.71979,1.44827,1.19872,0.80096,0.79412,0.75041,0.37295,1.8028,1.17568,1.23502,0.000976293,0.000976293,0.000976293
26,26.4671,1.6094,1.29076,1.16374,0.73758,0.76408,0.71482,0.37954,1.70218,1.15973,1.20431,0.00095743,0.00095743,0.00095743
27,27.4643,1.61949,1.30462,1.14338,0.72841,0.64734,0.65774,0.35575,1.71592,1.21218,1.21646,0.000938567,0.000938567,0.000938567
28,28.4161,1.65231,1.36172,1.17601,0.70748,0.71167,0.69997,0.38539,1.74594,1.2463,1.21601,0.000919704,0.000919704,0.000919704
29,29.3483,1.6082,1.22986,1.15584,0.68006,0.76231,0.70396,0.37506,1.76481,1.36513,1.22386,0.000900842,0.000900842,0.000900842
30,30.2863,1.72367,1.28351,1.13527,0.68509,0.77733,0.68545,0.36882,1.70471,1.2683,1.20752,0.000881979,0.000881979,0.000881979
31,31.2283,1.49928,1.28233,1.12543,0.84614,0.74121,0.77646,0.41316,1.55101,1.20174,1.15064,0.000863116,0.000863116,0.000863116
32,32.185,1.55463,1.27345,1.13014,0.83404,0.6864,0.77279,0.36379,1.72623,1.21502,1.20949,0.000844253,0.000844253,0.000844253
33,33.1316,1.56783,1.16726,1.10325,0.75604,0.77829,0.77156,0.40076,1.78411,1.21951,1.22258,0.00082539,0.00082539,0.00082539
34,34.0683,1.59683,1.26848,1.12141,0.84193,0.73225,0.76093,0.44109,1.65981,1.08063,1.19061,0.000806528,0.000806528,0.000806528
35,35.0305,1.58694,1.26055,1.1146,0.71759,0.68926,0.66253,0.36182,1.76263,1.13225,1.22716,0.000787665,0.000787665,0.000787665
36,36.0014,1.58377,1.29339,1.08787,0.75688,0.71053,0.68156,0.34307,1.76607,1.1211,1.23085,0.000768802,0.000768802,0.000768802
37,36.9569,1.60859,1.20383,1.11403,0.82841,0.77851,0.79188,0.39216,1.68086,1.11167,1.19609,0.000749939,0.000749939,0.000749939
38,37.8661,1.53163,1.1262,1.07862,0.72335,0.7193,0.76482,0.4149,1.70131,1.05953,1.18929,0.000731076,0.000731076,0.000731076
39,38.7989,1.39231,1.14021,1.0918,0.8702,0.74303,0.794,0.42204,1.69449,1.03004,1.18262,0.000712214,0.000712214,0.000712214
40,39.7254,1.51616,1.20075,1.10449,0.77709,0.75192,0.77459,0.36618,1.83941,1.11429,1.23751,0.000693351,0.000693351,0.000693351
41,40.6692,1.45098,1.03174,1.11789,0.82024,0.78912,0.79922,0.41792,1.68247,0.97432,1.20057,0.000674488,0.000674488,0.000674488
42,41.5989,1.42187,1.04328,1.10578,0.90193,0.76522,0.8505,0.4491,1.65896,0.94396,1.18053,0.000655625,0.000655625,0.000655625
43,42.5562,1.4582,1.05914,1.09841,0.8242,0.81384,0.84779,0.44692,1.60395,0.93187,1.15506,0.000636762,0.000636762,0.000636762
44,43.5511,1.64334,1.14057,1.1475,0.83276,0.77632,0.82432,0.44682,1.6105,0.98164,1.16628,0.0006179,0.0006179,0.0006179
45,44.5597,1.49353,1.17323,1.06777,0.73955,0.76788,0.77835,0.37952,1.72634,1.05264,1.20891,0.000599037,0.000599037,0.000599037
46,45.4716,1.37215,1.03616,1.07069,0.7301,0.76754,0.7747,0.3786,1.7257,1.07218,1.21009,0.000580174,0.000580174,0.000580174
47,46.4465,1.43401,1.21549,1.07278,0.79367,0.81434,0.79023,0.40531,1.67578,1.01624,1.19118,0.000561311,0.000561311,0.000561311
48,47.396,1.53004,1.07548,1.07823,0.82859,0.80359,0.79243,0.39982,1.65967,0.97003,1.17843,0.000542448,0.000542448,0.000542448
49,48.3626,1.47221,1.07823,1.07154,0.78829,0.79957,0.79936,0.39545,1.66668,0.97595,1.18101,0.000523586,0.000523586,0.000523586
50,49.3587,1.41064,1.00463,1.07116,0.76826,0.78984,0.80434,0.40522,1.63716,0.98106,1.17314,0.000504723,0.000504723,0.000504723
51,50.2968,1.43672,0.96287,1.04111,0.84897,0.70175,0.81201,0.39921,1.64312,0.9856,1.16842,0.00048586,0.00048586,0.00048586
52,51.2222,1.38493,0.96007,1.04147,0.78328,0.7771,0.79887,0.40554,1.68962,1.01744,1.17876,0.000466997,0.000466997,0.000466997
53,52.1576,1.52965,1.15664,1.10762,0.86466,0.77153,0.82609,0.44346,1.67731,0.99959,1.17877,0.000448134,0.000448134,0.000448134
54,53.0865,1.39137,0.9602,1.06195,0.88069,0.76974,0.84479,0.47593,1.65607,0.9752,1.17604,0.000429272,0.000429272,0.000429272
55,54.0219,1.53252,0.97811,1.13814,0.83692,0.79316,0.84568,0.46393,1.65311,1.02808,1.18057,0.000410409,0.000410409,0.000410409
56,54.9487,1.36009,0.96837,1.04062,0.86679,0.78209,0.85566,0.48353,1.60791,0.99812,1.16427,0.000391546,0.000391546,0.000391546
57,55.9025,1.35972,0.94769,1.04932,0.87018,0.8091,0.87348,0.50143,1.59955,0.95933,1.16006,0.000372683,0.000372683,0.000372683
58,56.8507,1.31059,0.89644,1.02768,0.87627,0.81368,0.86525,0.48728,1.6287,0.93301,1.17522,0.00035382,0.00035382,0.00035382
59,57.8114,1.37722,0.95625,1.05172,0.87598,0.8114,0.86538,0.48159,1.64861,0.92058,1.17979,0.000334958,0.000334958,0.000334958
60,58.7534,1.34915,0.91726,1.005,0.86137,0.85526,0.88183,0.49143,1.64369,0.90709,1.17541,0.000316095,0.000316095,0.000316095
61,59.6817,1.31482,0.95237,1.03789,0.86084,0.82895,0.88475,0.50629,1.60951,0.88561,1.14933,0.000297232,0.000297232,0.000297232
62,60.6149,1.27562,0.91448,1.0052,0.90988,0.78509,0.88057,0.48818,1.61064,0.89837,1.14541,0.000278369,0.000278369,0.000278369
63,61.5383,1.40452,0.94985,1.0249,0.90948,0.78509,0.88481,0.50358,1.57794,0.90394,1.13331,0.000259506,0.000259506,0.000259506
64,62.4661,1.42962,0.94177,1.04878,0.90949,0.78509,0.88406,0.51828,1.54841,0.87699,1.12178,0.000240644,0.000240644,0.000240644
65,63.3929,1.21746,0.9208,1.0136,0.88637,0.79386,0.88479,0.50954,1.57521,0.88706,1.12926,0.000221781,0.000221781,0.000221781
