epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.37294,2.17966,4.59516,1.37753,0.00326,0.19632,0.00403,0.00143,1.95105,3.91217,1.17858,0.00010003,0.00010003,0.00010003
2,2.50295,1.9384,4.04133,1.2993,0.00365,0.3414,0.04673,0.01052,1.70835,3.83969,1.05496,0.000211521,0.000211521,0.000211521
3,3.57024,1.75231,3.10754,1.07577,0.00459,0.46209,0.19154,0.07519,1.71954,3.74117,1.05699,0.000319993,0.000319993,0.000319993
4,4.61062,1.84946,2.67283,1.12929,0.00787,0.72297,0.38373,0.20439,1.4994,3.5305,0.9907,0.000425448,0.000425448,0.000425448
5,5.65718,1.72869,2.38003,1.10903,0.0072,0.59947,0.39543,0.20194,1.56732,3.47924,1.02102,0.000527884,0.000527884,0.000527884
6,6.68875,1.68562,2.02939,1.11504,0.00806,0.59309,0.42956,0.19167,1.61752,3.40398,1.03885,0.000627302,0.000627302,0.000627302
7,7.72313,1.72903,2.00908,1.09021,0.00819,0.57508,0.46812,0.23046,1.61238,3.34018,1.05954,0.000723703,0.000723703,0.000723703
8,8.71455,1.7682,2.15931,1.12272,0.00929,0.71884,0.60224,0.34161,1.54667,3.16307,1.05811,0.000817085,0.000817085,0.000817085
9,9.71544,1.64143,1.89777,1.05557,1,0.14584,0.77678,0.39225,1.68303,2.89151,1.0888,0.000907449,0.000907449,0.000907449
10,10.7097,1.50051,1.73004,1.09662,1,0.21723,0.85257,0.46256,1.70332,2.8297,1.11004,0.000994795,0.000994795,0.000994795
11,11.716,1.67882,1.65115,1.10859,0.93405,0.36191,0.91704,0.4417,1.66693,2.38567,1.09967,0.00107912,0.00107912,0.00107912
12,12.7148,1.57769,1.50474,1.04505,0.81044,0.6723,0.89029,0.41108,1.67754,2.00711,1.11344,0.00116043,0.00116043,0.00116043
13,13.703,1.51171,1.5231,1.09378,0.95035,0.66655,0.94814,0.48781,1.64148,1.93559,1.11002,0.00120265,0.00120265,0.00120265
14,14.7069,1.55796,1.45804,1.07038,0.68653,0.62752,0.77545,0.37804,1.69024,1.9349,1.14494,0.00118378,0.00118378,0.00118378
15,15.71,1.55435,1.45877,1.04451,0.84931,0.66446,0.8716,0.41374,1.81315,1.81151,1.21138,0.00116492,0.00116492,0.00116492
16,16.7058,1.55859,1.38391,1.08415,0.81203,0.85225,0.91812,0.48587,1.61972,1.65137,1.13171,0.00114606,0.00114606,0.00114606
17,17.6943,1.55013,1.47359,1.07796,0.84065,0.85709,0.93699,0.49494,1.67584,1.36801,1.14637,0.0011272,0.0011272,0.0011272
18,18.678,1.43563,1.25441,1.04833,0.85117,0.87782,0.93045,0.50996,1.60375,1.19869,1.15919,0.00110833,0.00110833,0.00110833
19,19.6717,1.35629,1.43648,1.05348,0.87211,0.95214,0.95724,0.53189,1.64974,1.15264,1.18079,0.00108947,0.00108947,0.00108947
20,20.668,1.43414,1.21635,1.03044,0.94402,0.93995,0.96754,0.51794,1.65223,0.99625,1.16383,0.00107061,0.00107061,0.00107061
21,21.6564,1.38089,1.1997,1.00345,0.9575,0.91078,0.97204,0.5124,1.63251,0.97992,1.14566,0.00105174,0.00105174,0.00105174
22,22.6463,1.39611,1.17733,1.04832,0.83318,0.95017,0.95068,0.50744,1.69149,1.0538,1.15887,0.00103288,0.00103288,0.00103288
23,23.6279,1.46586,1.22597,1.08333,0.96088,0.98198,0.98741,0.55073,1.56181,0.91356,1.11261,0.00101402,0.00101402,0.00101402
24,24.6166,1.45403,1.16237,1.02023,0.95447,0.96396,0.97098,0.53264,1.65925,0.86251,1.14965,0.000995156,0.000995156,0.000995156
25,25.6109,1.41225,1.1659,1.0553,0.92787,0.99099,0.97808,0.5417,1.6152,0.8708,1.12505,0.000976293,0.000976293,0.000976293
26,26.5908,1.34529,1.17839,1.02973,0.91177,0.95106,0.97465,0.53182,1.52049,0.88854,1.09375,0.00095743,0.00095743,0.00095743
27,27.5749,1.34824,1.14269,1.01375,0.96584,0.91797,0.96065,0.54111,1.63851,0.83938,1.13996,0.000938567,0.000938567,0.000938567
28,28.5537,1.38234,1.13261,1.00783,0.95633,0.98071,0.9678,0.54388,1.5599,0.83929,1.07592,0.000919704,0.000919704,0.000919704
29,29.5407,1.28978,1.07356,0.99409,0.96087,0.97903,0.9778,0.52004,1.6467,0.80512,1.12685,0.000900842,0.000900842,0.000900842
30,30.5434,1.47659,1.12138,1.0099,0.95492,0.96733,0.97436,0.55115,1.57814,0.79274,1.11572,0.000881979,0.000881979,0.000881979
31,31.5339,1.38489,1.16801,1.03794,0.96075,0.97302,0.96735,0.56002,1.53679,0.77041,1.0993,0.000863116,0.000863116,0.000863116
32,32.518,1.33041,1.144,1.02473,0.95997,0.97841,0.96826,0.53365,1.58576,0.80255,1.11894,0.000844253,0.000844253,0.000844253
33,33.5027,1.26209,1.00819,0.98078,0.95808,0.97741,0.97024,0.55834,1.5814,0.7581,1.12127,0.00082539,0.00082539,0.00082539
34,34.4851,1.34979,1.13022,1.02893,0.95409,0.9768,0.97781,0.57189,1.53158,0.73906,1.09023,0.000806528,0.000806528,0.000806528
35,35.4657,1.32854,1.00941,0.99975,0.97123,0.97297,0.97745,0.57075,1.55363,0.73813,1.09338,0.000787665,0.000787665,0.000787665
36,36.4436,1.29503,1.08768,0.98526,0.95191,0.97297,0.97651,0.55798,1.65094,0.74863,1.13268,0.000768802,0.000768802,0.000768802
37,37.4314,1.35205,1.02382,1.00807,0.95902,0.97297,0.9758,0.56472,1.55371,0.76798,1.08508,0.000749939,0.000749939,0.000749939
